epoch,train_acc,train_loss,test_full_acc,test_100_acc,flops_T,time_s,acc_airplane,acc_automobile,acc_bird,acc_cat,acc_deer,acc_dog,acc_frog,acc_horse,acc_ship,acc_truck
1,0.72748,0.8014023872184753,0.7809,0.763,1.1173962,47.77586841583252,0.81,0.96,0.8,0.58,0.69,0.56,0.73,0.89,0.87,0.74
2,0.83264,0.4923544756269455,0.8266,0.823,2.2347924,98.22496175765991,0.88,0.95,0.83,0.38,0.74,0.93,0.85,0.88,0.92,0.87
3,0.86566,0.3973695753955841,0.8693,0.875,3.3521886,147.9072186946869,0.84,0.96,0.78,0.72,0.87,0.87,0.94,0.97,0.96,0.84
4,0.8826,0.34359632026672365,0.8697,0.878,4.4695848,198.59547591209412,0.93,0.97,0.89,0.79,0.84,0.76,0.91,0.93,0.85,0.91
5,0.89782,0.30232355730056765,0.8813,0.876,5.586981,248.11738634109497,0.66,0.89,0.84,0.8,0.89,0.86,0.95,0.95,0.96,0.96
6,0.90748,0.2728508170223236,0.8877,0.889,6.7043772,297.4565076828003,0.94,0.9,0.83,0.78,0.89,0.83,0.92,0.97,0.9,0.93
7,0.91566,0.24626521248817443,0.8929,0.902,7.8217734,346.3776249885559,0.89,1.0,0.83,0.76,0.95,0.9,0.93,0.96,0.9,0.9
8,0.9237,0.22123709877967834,0.8966,0.9,8.9391696,395.8884336948395,0.89,0.97,0.87,0.79,0.96,0.79,0.94,0.99,0.96,0.84
9,0.92938,0.20370793317317962,0.9123,0.914,10.0565658,445.8843741416931,0.94,0.96,0.91,0.79,0.91,0.89,0.93,0.94,0.96,0.91
10,0.93554,0.19016408111691474,0.9114,0.928,11.173962,495.0976858139038,0.91,0.92,0.89,0.84,0.94,0.91,0.95,0.99,0.96,0.97
11,0.9413,0.17191894365787505,0.9086,0.92,12.2913582,544.1449503898621,0.94,0.97,0.9,0.78,0.97,0.92,0.9,0.99,0.95,0.88
12,0.94274,0.16440748376607894,0.9098,0.911,13.4087544,593.1278278827667,0.8,0.97,0.96,0.86,0.95,0.81,0.88,0.97,0.96,0.95
13,0.94918,0.14612612997293473,0.9189,0.933,14.5261506,642.2535545825958,0.91,0.97,0.93,0.83,0.94,0.9,0.97,0.97,0.94,0.97
14,0.95286,0.1375761221718788,0.9185,0.914,15.6435468,691.9293301105499,0.95,0.92,0.91,0.86,0.89,0.83,0.94,0.98,0.92,0.94
15,0.95748,0.12590154876470566,0.9218,0.926,16.760943,741.9038507938385,0.92,0.94,0.91,0.84,0.97,0.85,0.97,0.97,0.95,0.94
16,0.95894,0.12044895070314407,0.9181,0.925,17.8783392,791.8033525943756,0.87,0.96,0.9,0.9,0.9,0.86,0.97,0.95,0.95,0.99
17,0.95898,0.11641452329874039,0.9184,0.93,18.9957354,841.0061037540436,0.95,0.97,0.94,0.91,0.89,0.81,0.97,0.97,0.94,0.95
18,0.96424,0.10337566436052323,0.923,0.931,20.1131316,890.1430537700653,0.92,0.94,0.92,0.84,0.93,0.92,0.97,0.97,0.92,0.98
19,0.96488,0.10106765660524368,0.9236,0.923,21.2305278,938.9931852817535,0.93,0.96,0.93,0.82,0.94,0.85,0.94,0.98,0.93,0.95
20,0.96678,0.096496706007272,0.9232,0.923,22.347924,988.5167157649994,0.92,0.96,0.91,0.81,0.94,0.86,0.95,0.97,0.95,0.96
21,0.97014,0.08863953495025635,0.9236,0.92,23.4653202,1038.0295405387878,0.82,0.96,0.87,0.82,0.91,0.95,0.97,0.97,0.96,0.97
22,0.97026,0.08686116529762745,0.9282,0.936,24.5827164,1086.8925323486328,0.94,0.95,0.95,0.85,0.91,0.89,0.96,0.97,0.98,0.96
23,0.97176,0.07945069152653217,0.9264,0.928,25.7001126,1135.8918669223785,0.87,0.98,0.93,0.75,0.94,0.96,0.93,0.98,0.98,0.96
24,0.97274,0.07859809449620545,0.931,0.939,26.8175088,1184.9946801662445,0.87,0.97,0.93,0.92,0.96,0.9,0.96,0.95,0.97,0.96
25,0.9749,0.07195204830169678,0.9221,0.914,27.934905,1234.0800075531006,0.83,0.99,0.87,0.8,0.86,0.94,0.93,0.98,0.98,0.96
26,0.9764,0.06883855640798807,0.9274,0.914,29.0523012,1283.6507375240326,0.89,0.97,0.87,0.86,0.88,0.9,0.94,0.95,0.95,0.93
27,0.9774,0.06480108677387238,0.9286,0.941,30.1696974,1333.1274313926697,0.92,0.96,0.88,0.9,0.93,0.91,0.93,0.99,0.99,1.0
28,0.97934,0.06234530671566725,0.9291,0.925,31.2870936,1382.122373342514,0.86,0.97,0.93,0.89,0.88,0.88,0.93,0.99,0.96,0.96
29,0.97922,0.061973079556897286,0.9196,0.917,32.4044898,1431.1497523784637,0.91,0.89,0.84,0.89,0.91,0.87,0.95,0.96,0.95,1.0
30,0.97968,0.05956426944345236,0.932,0.927,33.521886,1480.314740896225,0.91,0.97,0.92,0.87,0.9,0.88,0.96,0.99,0.92,0.95
